Date,Regime,Asset,Window,VaR_1pct,VaR_5pct,Actual_Return,Volatility_Forecast_Raw,Volatility_Forecast_Calibrated,RV22_Forecast,RV22_Actual,Calibration_Factor,Historical_Returns_Count,Violation_1pct,Violation_5pct
2022-01-14,4,RTY Index,22,-0.035009755477017915,-0.023295114583672928,-0.031106504770361,0.21202507034439455,0.014837303732987724,0.98900187,0.9822326568531544,0.06997900629811057,252,False,True
2022-01-18,4,RTY Index,22,-0.03441663136333711,-0.023363245970818344,-0.0160820660905388,0.2102896919619565,0.014715863678233486,0.9728786,1.0683680886634237,0.06997900629811057,252,False,False
2022-01-19,4,RTY Index,22,-0.034902906484841775,-0.023693346995327835,-0.0189620100446474,0.21295311477155973,0.014902247359801243,0.99767864,1.053139392707438,0.06997900629811057,252,False,False
2022-01-20,4,RTY Index,22,-0.03479584871272889,-0.02362067233299509,-0.0180061719917695,0.2127865501132318,0.01489059133052707,0.99611855,1.083915464673648,0.06997900629811057,252,False,False
2022-01-21,4,RTY Index,22,-0.03481122554233282,-0.023631110677425005,0.0226759958444122,0.2134477900820458,0.014936864246469268,1.0023191,1.0925886605106865,0.06997900629811057,252,False,False
2022-01-24,4,RTY Index,22,-0.03475765968791905,-0.023594748250809393,-0.0146022055902782,0.2139873190805304,0.014974619949652233,1.0073926,1.0538907650166085,0.06997900629811057,252,False,False
2022-01-25,4,RTY Index,22,-0.03477290467206584,-0.02360509709380575,-0.0138522605788524,0.21438134035150794,0.015002193166655561,1.0111059,1.070475924003871,0.06997900629811057,252,False,False
2022-01-26,4,RTY Index,22,-0.03469059046493985,-0.023549219252430895,-0.0231222517283077,0.21407184435477392,0.01498053494435087,1.0081886,1.083831908547832,0.06997900629811057,252,False,False
2022-01-27,4,RTY Index,22,-0.03455695762641212,-0.02345850448016449,0.0190887575557793,0.21403750733330487,0.01497813207370923,1.0078652,1.13567950763255,0.06997900629811057,252,False,False
2022-01-28,4,RTY Index,22,-0.03473057425143658,-0.02357636168333606,0.0299975381644914,0.21577220732648925,0.015099524655457611,1.0242682,1.1706834218420388,0.06997900629811057,252,False,False
2022-01-31,4,RTY Index,22,-0.03473623338011613,-0.02358020330321817,0.0109272700580352,0.21716653643104075,0.01519709842064666,1.0375487,1.263680460873706,0.06997900629811057,252,False,False
2022-02-01,4,RTY Index,22,-0.03533629839904083,-0.023987548998606476,-0.010403362643112,0.2211227651616343,0.01547395137590163,1.0756961,1.2755266722797822,0.06997900629811057,252,False,False
2022-02-02,4,RTY Index,22,-0.0354837695385995,-0.024087657706827595,-0.0191447459547991,0.22211030224561032,0.015543058239720808,1.0853257,1.2859385012058973,0.06997900629811057,252,False,False
2022-02-03,4,RTY Index,22,-0.03561587518486742,-0.0241773357661155,0.0056733904701775,0.22314746449173675,0.015615637823074652,1.0954854,1.3074192797044482,0.06997900629811057,252,False,False
2022-02-04,4,RTY Index,22,-0.035889479746077334,-0.024363068372970646,0.0051009361509332,0.22484846412235468,0.015734672086938746,1.1122503,1.3102646452741775,0.06997900629811057,252,False,False
2022-02-07,4,RTY Index,22,-0.03611988626688549,-0.024519476597880646,0.0161537362116495,0.22541697725851004,0.015774456071274322,1.1178819,1.199819647348449,0.06997900629811057,252,False,False
2022-02-08,4,RTY Index,22,-0.03585250342273135,-0.024337967516111392,0.0184680340597517,0.2240585962320003,0.015679397916864964,1.1044496,1.2236647059200882,0.06997900629811057,252,False,False
2022-02-09,4,RTY Index,22,-0.036008498824006606,-0.0240676370658546,-0.0156422300870722,0.2238681836178684,0.015666073031341387,1.1025732,1.2435180246946362,0.06997900629811057,252,False,False
2022-02-10,4,RTY Index,22,-0.03601379592290141,-0.024071177581506897,-0.0102987501818227,0.22415240351153945,0.015685962457070643,1.1053746,1.2664924081113422,0.06997900629811057,252,False,False
2022-02-11,4,RTY Index,22,-0.0361233177208139,-0.024144380602156016,-0.0046206721521642,0.22460287175367996,0.015717485777024493,1.1098219,1.2661369584047573,0.06997900629811057,252,False,False
2022-02-14,4,RTY Index,22,-0.03622697762301525,-0.024213665603917904,0.0271784443995511,0.22459430090721358,0.01571688599770564,1.1097372,1.2615403485118843,0.06997900629811057,252,False,False
2022-02-15,4,RTY Index,22,-0.036210400197542195,-0.024202585456930333,0.001371104940682,0.22432605125737687,0.015698114153770253,1.1070879,1.3277104807398372,0.06997900629811057,252,False,False
2022-02-16,4,RTY Index,22,-0.036572916732041154,-0.024444887043156848,-0.0249411392463268,0.22657398952058183,0.015855422639648835,1.129387,1.3277036588368931,0.06997900629811057,252,False,True
2022-02-17,4,RTY Index,22,-0.036643998209456054,-0.024875262616019644,-0.009292623387876,0.2267991402100105,0.015871178461162386,1.1316327,1.294495015144388,0.06997900629811057,252,False,False
2022-02-18,4,RTY Index,22,-0.03678735418068399,-0.024972577800118446,-0.0146186115766689,0.2276741690941844,0.01593241211295902,1.1403816,1.277616055063162,0.06997900629811057,252,False,False
2022-02-22,4,RTY Index,22,-0.03704134670438009,-0.025144997051241968,-0.0183891846056243,0.2270325967785243,0.01588751551984075,1.1339636,1.2631498608590357,0.06997900629811057,252,False,False
2022-02-23,4,RTY Index,22,-0.036971673610119854,-0.025097700451479917,0.02635365487582,0.22656737910106847,0.015854960049060077,1.1293211,1.2645396082824618,0.06997900629811057,252,False,False
2022-02-24,4,RTY Index,22,-0.03672515324211095,-0.024930353568113985,0.0222564114562979,0.22645546421477067,0.01584712835652699,1.1282057,1.2823804560407284,0.06997900629811057,252,False,False
2022-02-25,4,RTY Index,22,-0.03681451729383766,-0.024991017097307142,0.0035020669108329,0.22745576992621505,0.015917128756208192,1.1381948,1.3098071390947863,0.06997900629811057,252,False,False
2022-02-28,4,RTY Index,22,-0.037065515684775494,-0.02516140382353414,-0.0195160011475858,0.22818172582395813,0.015967930428548507,1.1454718,1.292412603504994,0.06997900629811057,252,False,False
2022-03-01,4,RTY Index,22,-0.0370002434598732,-0.025117094692017,0.0247666121935468,0.2274239833039123,0.015914904359965874,1.1378767,1.277333845633749,0.06997900629811057,252,False,False
2022-03-02,4,RTY Index,22,-0.036812282045061866,-0.024989499730124876,-0.0129354932936264,0.22747451405696978,0.01591844045185233,1.1383824,1.3016646517675363,0.06997900629811057,252,False,False
2022-03-03,4,RTY Index,22,-0.036945027496905834,-0.025079612112426236,-0.0156252016763064,0.22830709979801728,0.01597670397466881,1.1467309,1.2287125325915635,0.06997900629811057,252,False,False
2022-03-04,4,RTY Index,22,-0.036670225199951306,-0.024893066439512595,-0.0250864004449838,0.22693602422469,0.015880757468487754,1.1329991,1.2414384379688692,0.06997900629811057,252,False,True
2022-03-07,4,RTY Index,22,-0.036360967728381356,-0.025186023564701548,0.0059688400511523,0.22621929224055623,0.015830601276456,1.1258537,1.293246292700306,0.06997900629811057,252,False,False
2022-03-08,4,RTY Index,22,-0.03662918649902472,-0.025371809716719887,0.026780166083967,0.2272849533075166,0.015905175178972473,1.1364859,1.2605953448912388,0.06997900629811057,252,False,False
2022-03-09,4,RTY Index,22,-0.036378145964625234,-0.02519792235315158,-0.0022929708524425,0.22641687216283155,0.015844427723081287,1.1278212,1.3272972867628474,0.06997900629811057,252,False,False
2022-03-10,4,RTY Index,22,-0.036657613153189356,-0.02539149990722869,-0.0160375602985571,0.22812823347646144,0.015964187087226134,1.1449348,1.3253249055261913,0.06997900629811057,252,False,False
2022-03-11,4,RTY Index,22,-0.03659507818885516,-0.025348184033539507,-0.0193554906693119,0.22814926334230484,0.015965658736340437,1.1451459,1.3249693061294106,0.06997900629811057,252,False,False
2022-03-14,4,RTY Index,22,-0.0366370130850676,-0.025377230930533,0.0139363922904119,0.22841518218924384,0.01598426747300517,1.1478169,1.328157550862662,0.06997900629811057,252,False,False
2022-03-15,4,RTY Index,22,-0.03670152954918431,-0.025421919322703768,0.0308803544720929,0.2290513439860552,0.01602878544339085,1.1542194,1.3233621893658936,0.06997900629811057,252,False,False
2022-04-22,4,RTY Index,22,-0.03650023312402756,-0.025912547115332012,0.00695173983843,0.2290394666268835,0.016027954277598566,1.1540997,1.0964900238727713,0.06997900629811057,252,False,False
2022-04-26,4,RTY Index,22,-0.03576816577441546,-0.025570797680138424,-0.0034107744444588,0.22636994058399185,0.01584114349783008,1.1273537,1.175899101888269,0.06997900629811057,252,False,False
2022-04-27,4,RTY Index,22,-0.0360069914390075,-0.025741535055619828,0.0178364331525688,0.22679310755921053,0.015870756302254062,1.1315725,1.1769848482175884,0.06997900629811057,252,False,False
2022-04-28,4,RTY Index,22,-0.03556909577871246,-0.025428481783471766,-0.0284738067072223,0.22468172438524514,0.015723003805825413,1.1106013,1.210563443412145,0.06997900629811057,252,False,True
2022-04-29,4,RTY Index,22,-0.03535563629872432,-0.02569865290270098,0.0100400734923766,0.22435479207557107,0.015700125407667676,1.1073716,1.2237595794947274,0.06997900629811057,252,False,False
2022-05-02,4,RTY Index,22,-0.03547487750178766,-0.025785324749399888,0.008432080463943,0.22523063936571977,0.015761416330701175,1.1160345,1.192983620064157,0.06997900629811057,252,False,False
2022-05-03,4,RTY Index,22,-0.03531182311194509,-0.025666806781474726,0.0265377584127202,0.22410635664993772,0.015682740143452608,1.1049205,1.1897851843572318,0.06997900629811057,252,False,False
2022-05-05,4,RTY Index,22,-0.03659878167680357,-0.025822819817398195,-0.0170230156205471,0.22304342218908446,0.015608357046122078,1.0944641,1.4124041837897316,0.06997900629811057,252,False,False
2022-05-09,4,RTY Index,22,-0.03757803152061395,-0.027120041580609447,-0.0001651593749151,0.2287690876288697,0.016009033423993683,1.1513765,1.5295278799513443,0.06997900629811057,252,False,False
2022-05-11,4,RTY Index,22,-0.03892243920391241,-0.02809029975531837,0.0122852392810049,0.23685819501434724,0.01657510112066811,1.2342397,1.5748887855852487,0.06997900629811057,252,False,False
2024-08-02,4,RTY Index,22,-0.03910415212304887,-0.02942377518981068,-0.0338224310393923,0.24014957460261757,0.016805428593605152,1.26878,1.3483247993184766,0.06997900629811057,252,False,True
2024-08-05,4,RTY Index,22,-0.0390522130975757,-0.029776009220576268,0.0122537059956,0.24136362609142248,0.01689038671038646,1.2816408,1.451136039952865,0.06997900629811057,252,False,False
2024-08-06,4,RTY Index,22,-0.03932626737793683,-0.029984966463500826,-0.0142422832576195,0.24339951258634995,0.017032856024237226,1.3033531,1.462071558323743,0.06997900629811057,252,False,False
2024-08-07,4,RTY Index,22,-0.039022785642413946,-0.029753571768080432,0.0239426866036694,0.24180773730007446,0.01692146517145378,1.2863616,1.4765061096307976,0.06997900629811057,252,False,False
2024-08-08,4,RTY Index,22,-0.038758992369756315,-0.02955243820109528,-0.0016843767036477,0.2411149857715948,0.016872987107879274,1.2790016,1.522950801665795,0.06997900629811057,252,False,False
2021-12-07,4,NDX Index,5,-0.030894280719170247,-0.021539801044491998,0.0041980501751743,0.19098677488721091,0.011533017807198728,0.80247086,0.9488262628426012,0.060386473429951695,252,False,False
2021-12-08,4,NDX Index,5,-0.029214728720684473,-0.022734282957854568,-0.0150427293834399,0.19611980336704213,0.01184298329511124,0.8461855,0.9510781900121532,0.060386473429951695,252,False,False
2021-12-09,4,NDX Index,5,-0.02942869456425025,-0.022900786644315173,0.0112317249396103,0.19769001791142157,0.011937803013974733,0.85978955,0.9803362188802084,0.060386473429951695,252,False,False
